case_id,case_kind,parent_id,operator,report_class,expected_decision,evaluator_name,decision,correct,dim_claim_evidence_consistency,dim_evidence_completeness,dim_impact_calibration,dim_reproducibility,dim_scope_consistency,confidence
canonical-norepro-009,canonical,,,invalid,reject,rules-baseline,reject,1,0.0,1.0,1.0,1.0,1.0,0.825
canonical-oauthstate-029,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-oob-008,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-openred-015,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-pair1a-cookie,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
canonical-pair1b-cookie,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair2a-dirlist,canonical,,,invalid,reject,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
canonical-pair2b-dirlist,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair3a-comment,canonical,,,invalid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
canonical-pair3b-comment,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair4a-passpol,canonical,,,invalid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
canonical-pair4b-passpol,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair5a-health,canonical,,,invalid,reject,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
canonical-pair5b-health,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair6a-logout,canonical,,,invalid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
canonical-pair6b-logout,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair7a-404,canonical,,,invalid,reject,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
canonical-pair7b-404,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pair8a-session,canonical,,,invalid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
canonical-pair8b-session,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-pathtrav-017,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-perm-012,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-permdiff-020,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-racecond-018,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-ratelimit-010,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-ratelimit2-032,canonical,,,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
canonical-robots-022,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
canonical-saml-019,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-selfreg-023,canonical,,,invalid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
canonical-sqlx-002,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-ssrf-005,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-tokenurl-013,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-totiming-019,canonical,,,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,1.0,1.0,0.6
canonical-verb-021,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
canonical-versiondisc-024,canonical,,,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
canonical-websig-018,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-wstoken-022,canonical,,,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,1.0,1.0,0.6
canonical-xsrf-003,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-xssref-016,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
canonical-xsssto-013,canonical,,,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz-001-confidence-overstatement-07,mutated,canonical-authz-001,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz-001-fabricate-reference-08,mutated,canonical-authz-001,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,1.0,1.0,0.45
mut-authz-001-impact-inflation-03,mutated,canonical-authz-001,impact_inflation,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,0.55,1.0,1.0,0.45
mut-authz-001-invent-api-identifier-05,mutated,canonical-authz-001,invent_api_identifier,valid,needs_manual_review,rules-baseline,reject,0,0.1,0.78,1.0,1.0,1.0,0.775
mut-authz-001-professionalize-language-06,mutated,canonical-authz-001,professionalize_language,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz-001-remove-affected-version-02,mutated,canonical-authz-001,remove_affected_version,valid,accept,rules-baseline,accept,1,1.0,0.9,1.0,0.95,0.75,0.724
mut-authz-001-remove-reproduction-step-01,mutated,canonical-authz-001,remove_reproduction_step,valid,needs_manual_review,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz-001-scope-expansion-04,mutated,canonical-authz-001,scope_expansion,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,0.6,0.45
mut-authz2-014-confidence-overstatement-06,mutated,canonical-authz2-014,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz2-014-fabricate-reference-07,mutated,canonical-authz2-014,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,1.0,1.0,0.45
mut-authz2-014-impact-inflation-02,mutated,canonical-authz2-014,impact_inflation,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,0.55,1.0,1.0,0.45
mut-authz2-014-invent-api-identifier-04,mutated,canonical-authz2-014,invent_api_identifier,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.55,0.83,1.0,1.0,1.0,0.45
mut-authz2-014-misattribute-cve-08,mutated,canonical-authz2-014,misattribute_cve,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.7,1.0,1.0,1.0,1.0,0.45
mut-authz2-014-professionalize-language-05,mutated,canonical-authz2-014,professionalize_language,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-authz2-014-remove-affected-version-01,mutated,canonical-authz2-014,remove_affected_version,valid,accept,rules-baseline,accept,1,1.0,0.9,1.0,0.95,0.75,0.724
mut-authz2-014-scope-expansion-03,mutated,canonical-authz2-014,scope_expansion,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,0.6,0.45
mut-cachehdr-024-add-irrelevant-detail-05,mutated,canonical-cachehdr-024,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachehdr-024-confidence-overstatement-03,mutated,canonical-cachehdr-024,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachehdr-024-professionalize-language-04,mutated,canonical-cachehdr-024,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachehdr-024-remove-affected-version-02,mutated,canonical-cachehdr-024,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-cachehdr-024-remove-reproduction-step-01,mutated,canonical-cachehdr-024,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachepois-027-add-irrelevant-detail-04,mutated,canonical-cachepois-027,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachepois-027-confidence-overstatement-02,mutated,canonical-cachepois-027,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachepois-027-professionalize-language-03,mutated,canonical-cachepois-027,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cachepois-027-remove-affected-version-01,mutated,canonical-cachepois-027,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-cachepois-027-remove-reproduction-step-05,mutated,canonical-cachepois-027,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-corswild-025-add-irrelevant-detail-03,mutated,canonical-corswild-025,add_irrelevant_detail,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-corswild-025-confidence-overstatement-02,mutated,canonical-corswild-025,confidence_overstatement,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-corswild-025-professionalize-language-01,mutated,canonical-corswild-025,professionalize_language,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-corswild-025-scope-expansion-04,mutated,canonical-corswild-025,scope_expansion,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,0.6,0.6
mut-crypto-011-add-irrelevant-detail-03,mutated,canonical-crypto-011,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-crypto-011-confidence-overstatement-01,mutated,canonical-crypto-011,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-crypto-011-professionalize-language-02,mutated,canonical-crypto-011,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-crypto-011-remove-affected-version-05,mutated,canonical-crypto-011,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-crypto-011-remove-reproduction-step-04,mutated,canonical-crypto-011,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-cspnonc-021-add-irrelevant-detail-02,mutated,canonical-cspnonc-021,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cspnonc-021-confidence-overstatement-05,mutated,canonical-cspnonc-021,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cspnonc-021-professionalize-language-01,mutated,canonical-cspnonc-021,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-cspnonc-021-remove-affected-version-04,mutated,canonical-cspnonc-021,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-cspnonc-021-remove-reproduction-step-03,mutated,canonical-cspnonc-021,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-csvinj-017-confidence-overstatement-05,mutated,canonical-csvinj-017,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-csvinj-017-fabricate-reference-06,mutated,canonical-csvinj-017,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,1.0,1.0,0.45
mut-csvinj-017-impact-inflation-01,mutated,canonical-csvinj-017,impact_inflation,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,0.55,1.0,1.0,0.45
mut-csvinj-017-impossible-precondition-08,mutated,canonical-csvinj-017,impossible_precondition,valid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
mut-csvinj-017-invent-api-identifier-03,mutated,canonical-csvinj-017,invent_api_identifier,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.55,0.83,1.0,1.0,1.0,0.45
mut-csvinj-017-misattribute-cve-07,mutated,canonical-csvinj-017,misattribute_cve,valid,needs_manual_review,rules-baseline,reject,0,0.4,1.0,1.0,1.0,1.0,0.625
mut-csvinj-017-professionalize-language-04,mutated,canonical-csvinj-017,professionalize_language,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-csvinj-017-scope-expansion-02,mutated,canonical-csvinj-017,scope_expansion,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,0.6,0.45
mut-deserial-030-add-irrelevant-detail-01,mutated,canonical-deserial-030,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-deserial-030-confidence-overstatement-04,mutated,canonical-deserial-030,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-deserial-030-professionalize-language-05,mutated,canonical-deserial-030,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-deserial-030-remove-affected-version-03,mutated,canonical-deserial-030,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-deserial-030-remove-reproduction-step-02,mutated,canonical-deserial-030,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-dup-007-add-irrelevant-detail-02,mutated,canonical-dup-007,add_irrelevant_detail,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-dup-007-confidence-overstatement-01,mutated,canonical-dup-007,confidence_overstatement,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-dup-007-professionalize-language-04,mutated,canonical-dup-007,professionalize_language,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-dup-007-scope-expansion-03,mutated,canonical-dup-007,scope_expansion,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,0.6,0.6
mut-filetype-023-add-irrelevant-detail-05,mutated,canonical-filetype-023,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-filetype-023-confidence-overstatement-03,mutated,canonical-filetype-023,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-filetype-023-professionalize-language-04,mutated,canonical-filetype-023,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-filetype-023-remove-affected-version-02,mutated,canonical-filetype-023,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-filetype-023-remove-reproduction-step-01,mutated,canonical-filetype-023,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-ghauthz-015-confidence-overstatement-04,mutated,canonical-ghauthz-015,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-ghauthz-015-contradict-observed-result-08,mutated,canonical-ghauthz-015,contradict_observed_result,valid,reject,rules-baseline,reject,1,0.0,1.0,1.0,1.0,1.0,0.825
mut-ghauthz-015-fabricate-reference-05,mutated,canonical-ghauthz-015,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,1.0,1.0,0.45
mut-ghauthz-015-impossible-precondition-07,mutated,canonical-ghauthz-015,impossible_precondition,valid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
mut-ghauthz-015-invent-api-identifier-02,mutated,canonical-ghauthz-015,invent_api_identifier,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.55,0.83,1.0,1.0,1.0,0.45
mut-ghauthz-015-misattribute-cve-06,mutated,canonical-ghauthz-015,misattribute_cve,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.7,1.0,1.0,1.0,1.0,0.45
mut-ghauthz-015-professionalize-language-03,mutated,canonical-ghauthz-015,professionalize_language,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-ghauthz-015-scope-expansion-01,mutated,canonical-ghauthz-015,scope_expansion,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,0.6,0.45
mut-graphql-028-add-irrelevant-detail-04,mutated,canonical-graphql-028,add_irrelevant_detail,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,0.772,1.0,0.6
mut-graphql-028-confidence-overstatement-02,mutated,canonical-graphql-028,confidence_overstatement,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,0.772,1.0,0.6
mut-graphql-028-professionalize-language-03,mutated,canonical-graphql-028,professionalize_language,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,0.772,1.0,0.6
mut-graphql-028-remove-affected-version-01,mutated,canonical-graphql-028,remove_affected_version,review,needs_manual_review,rules-baseline,reject,0,1.0,0.9,1.0,0.723,0.75,0.6
mut-graphql-028-remove-reproduction-step-05,mutated,canonical-graphql-028,remove_reproduction_step,review,needs_manual_review,rules-baseline,reject,0,1.0,1.0,1.0,0.577,1.0,0.6
mut-headermiss-020-add-irrelevant-detail-01,mutated,canonical-headermiss-020,add_irrelevant_detail,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-headermiss-020-confidence-overstatement-04,mutated,canonical-headermiss-020,confidence_overstatement,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-headermiss-020-professionalize-language-03,mutated,canonical-headermiss-020,professionalize_language,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,1.0,0.6
mut-headermiss-020-scope-expansion-02,mutated,canonical-headermiss-020,scope_expansion,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,0.772,0.6,0.6
mut-idor-004-add-irrelevant-detail-08,mutated,canonical-idor-004,add_irrelevant_detail,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-idor-004-confidence-overstatement-03,mutated,canonical-idor-004,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-idor-004-contradict-observed-result-07,mutated,canonical-idor-004,contradict_observed_result,valid,reject,rules-baseline,reject,1,0.45,1.0,1.0,1.0,1.0,0.6
mut-idor-004-fabricate-reference-04,mutated,canonical-idor-004,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,1.0,1.0,0.45
mut-idor-004-impossible-precondition-06,mutated,canonical-idor-004,impossible_precondition,valid,reject,rules-baseline,accept,0,1.0,1.0,1.0,1.0,1.0,0.852
mut-idor-004-invent-api-identifier-01,mutated,canonical-idor-004,invent_api_identifier,valid,needs_manual_review,rules-baseline,reject,0,0.1,0.78,1.0,1.0,1.0,0.775
mut-idor-004-misattribute-cve-05,mutated,canonical-idor-004,misattribute_cve,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.7,1.0,1.0,1.0,1.0,0.45
mut-idor-004-professionalize-language-02,mutated,canonical-idor-004,professionalize_language,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-info-006-add-irrelevant-detail-04,mutated,canonical-info-006,add_irrelevant_detail,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-info-006-confidence-overstatement-03,mutated,canonical-info-006,confidence_overstatement,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-info-006-professionalize-language-02,mutated,canonical-info-006,professionalize_language,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,1.0,0.6
mut-info-006-scope-expansion-01,mutated,canonical-info-006,scope_expansion,invalid,reject,rules-baseline,reject,1,1.0,1.0,1.0,1.0,0.6,0.6
mut-infodisc-016-add-irrelevant-detail-07,mutated,canonical-infodisc-016,add_irrelevant_detail,valid,accept,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
mut-infodisc-016-confidence-overstatement-02,mutated,canonical-infodisc-016,confidence_overstatement,valid,accept,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
mut-infodisc-016-contradict-observed-result-06,mutated,canonical-infodisc-016,contradict_observed_result,valid,reject,rules-baseline,reject,1,0.45,1.0,1.0,0.772,1.0,0.6
mut-infodisc-016-fabricate-reference-03,mutated,canonical-infodisc-016,fabricate_reference,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.772,1.0,0.45
mut-infodisc-016-impossible-precondition-05,mutated,canonical-infodisc-016,impossible_precondition,valid,reject,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
mut-infodisc-016-misattribute-cve-04,mutated,canonical-infodisc-016,misattribute_cve,valid,needs_manual_review,rules-baseline,needs_manual_review,1,0.7,1.0,1.0,0.772,1.0,0.45
mut-infodisc-016-professionalize-language-01,mutated,canonical-infodisc-016,professionalize_language,valid,accept,rules-baseline,needs_manual_review,0,1.0,1.0,1.0,0.772,1.0,0.45
mut-infodisc-016-remove-reproduction-step-08,mutated,canonical-infodisc-016,remove_reproduction_step,valid,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.577,1.0,0.45
mut-jwtalg-026-add-irrelevant-detail-03,mutated,canonical-jwtalg-026,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-jwtalg-026-confidence-overstatement-01,mutated,canonical-jwtalg-026,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-jwtalg-026-professionalize-language-02,mutated,canonical-jwtalg-026,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-jwtalg-026-remove-affected-version-05,mutated,canonical-jwtalg-026,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-jwtalg-026-remove-reproduction-step-04,mutated,canonical-jwtalg-026,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-loginject-031-add-irrelevant-detail-02,mutated,canonical-loginject-031,add_irrelevant_detail,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-loginject-031-confidence-overstatement-05,mutated,canonical-loginject-031,confidence_overstatement,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-loginject-031-professionalize-language-01,mutated,canonical-loginject-031,professionalize_language,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,1.0,1.0,0.5
mut-loginject-031-remove-affected-version-04,mutated,canonical-loginject-031,remove_affected_version,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,0.9,1.0,0.95,0.75,0.5
mut-loginject-031-remove-reproduction-step-03,mutated,canonical-loginject-031,remove_reproduction_step,review,needs_manual_review,rules-baseline,needs_manual_review,1,1.0,1.0,1.0,0.772,1.0,0.5
mut-massign-014-add-irrelevant-detail-06,mutated,canonical-massign-014,add_irrelevant_detail,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
mut-massign-014-confidence-overstatement-01,mutated,canonical-massign-014,confidence_overstatement,valid,accept,rules-baseline,accept,1,1.0,1.0,1.0,1.0,1.0,0.852
